Citation Key,Paper Title,Year,Method Category,Robot Platform,Sensors,State Estimator,Estimated State Variables,Propagation Model,Measurement or Update Model,Slip Handling Type,Contact Assumption,Training or Prior Data Required,Ground Truth Used,Validation Type,Terrain or Environment,Main Finding,Quantitative Result,Author-Stated Limitation,Limitation Relevant to This Thesis,Relevance to This Thesis,Evidence Page or Section,Verification Status,Notes,Final Section,Role
Ramadoss2022,Estimation of Human Base Kinematics using Dynamical Inverse Kinematics and Contact-Aided Lie Group Kalman Filter,2022,Contact-aided Lie-group filtering for floating-base kinematics,Human subject represented by a floating-base articulated rigid-body model,Distributed wearable IMUs; six-axis force/torque sensors in instrumented shoes; Vive tracker used only for evaluation,"Extended Kalman Filter on a composite matrix Lie group, cascaded after dynamical inverse kinematics",Floating-base pose and velocity; candidate foot-contact positions; foot orientations; joint states are estimated by the preceding dynamical inverse-kinematics block,Inertial floating-base propagation using pelvis-IMU angular velocity together with contact-state dynamics,"Center-of-pressure-based contact detection; relative contact-point position, contact-derived base velocity, foot orientation, and pelvis-IMU measurements are fused as invariant and non-invariant observations",No explicit slip detection or compensation; contacts are inferred from force distribution and assumed usable while active,Candidate points on each foot are treated as fixed contacts while the foot remains attached to the ground,No training; requires calibrated human kinematic model and known IMU-to-link transformations,Vive motion-tracking trajectory mounted on the base/pelvis,Real human experiment; qualitative evaluation,"Flat-surface standing, walking, and turning with a sensorized suit and shoes",The cascaded dynamical-IK and contact-aided Lie-group filter reconstructs whole-body motion without external position measurements during estimation and produces base trajectories broadly comparable with the Vive reference,No numerical pose-error metric is reported; the evaluation is qualitative through trajectory and motion-reconstruction plots,The authors report peaks in the estimates during contact events and note limited accuracy in the alignment between the estimated and Vive trajectories,"The contact model is designed for flat human feet with force-sensing shoes and does not address rolling, discontinuous, or uncertain rimless-wheel spoke contacts","Provides an example of contact detection feeding a Lie-group base estimator, but it is peripheral because the platform and contact geometry differ substantially from a rimless-wheeled rover",Abstract; Sections III-VI; Section VII and Figures 2-4; Section VIII,Fully verified,Probably a supporting rather than core citation for the thesis SOTA,Contact-Aided Inertial State Estimation,Supporting
Zhou2025,Proprioceptive-Based Multimode State Estimation for Wheeled-Quadruped Robot,2025,Proprioceptive multimode state estimation for wheeled-legged robots,Lite3-W wheeled-quadruped robot with one driven wheel at the end of each leg,"IMU; motor encoders; joint torque measurements; motion capture, RTK, and a force plate used for evaluation","Standard Kalman Filter with probabilistic slip, moving-contact, contact-detection, and vertical-contact-constraint modules",Body position and velocity together with per-leg wheel-contact position/velocity-related states in a 24-state formulation,"IMU acceleration and body motion are used for prediction, with wheel/leg kinematics contributing to the motion model",A probabilistic slip model estimates wheel-induced displacement; an offset wheel-leg contact model estimates moving contact position and velocity; vertical contact constraints and normalized momentum-based contact detection are included in the update,Model-based slip compensation and contact-aware measurement construction; no complete rejection of wheel measurements,Each tire has a single instantaneous contact point that moves along the tire tread; contact state is estimated probabilistically,No learned training data; requires robot geometry and manually selected probability-model parameters,NOKOV motion capture indoors; BeiDou RTK outdoors; force plate for contact-state validation,Real-robot indoor and outdoor experiments,"Indoor flat-floor wheeled, legged, and hybrid motion; outdoor multimode trajectories longer than 100 m","Explicitly modelling wheel-induced displacement, moving wheel-ground contacts, and contact constraints improves horizontal and vertical state estimation across wheeled, legged, and hybrid modes",The method achieved at least a 1.75-times RMSE reduction across all directions versus existing methods; contact-model ablations showed at least 30% lower RMSE and 56% lower end-to-end error,Outdoor RTK vertical position was not accurate enough to serve as height ground truth; future work targets terrain estimation for more complex environments,The method still assumes a continuous tire surface with one moving contact point and relies on a platform-specific probabilistic slip model; it does not model discrete spoke contacts or innovation-based rejection,Highly relevant comparison for adapting contact-aided estimation to a hybrid wheeled-legged platform where the conventional fixed-foot assumption is invalid,Abstract; Sections II-A-II-D; Section III and Tables I-III; Section IV,Fully verified,Strong core paper for the wheel-legged/contact-aided subsection,Contact-Aided Inertial State Estimation,Core
Zhang2025,A Multi-Modal Fusion Framework for State Estimation in Four-Wheel-Legged Robots,2025,Probabilistic contact estimation and wheel-IMU state estimation,Simulated four-wheel-legged robot,Gait-phase information; knee flexion/extension joint torque; wheel-bottom height; motor encoders; IMU,Two Kalman-filter modules: multi-probability contact estimator and position/velocity estimator,Wheel-ground contact probabilities; robot center position and velocity in the world frame,Kalman prediction using gait/contact probability for the contact estimator and motion/IMU information for body-state prediction,"Contact probability from gait phase, knee-joint torque, and wheel-bottom height is fused; encoder kinematics and IMU attitude/angular-rate information update position and velocity",No explicit slip estimation or rejection; contact-state fusion is intended to improve robustness during mode switching and uncertain interaction,Wheel-bottom contact is represented as a binary state obtained by thresholding a fused probability at 0.4,No training; probability distributions and thresholds are manually defined from the robot model and simulation behavior,Webots simulation truth,Simulation only,Webots pure rolling and mixed wheel-walking motion,"Fusing three contact-probability cues provides contact estimates consistent with simulation truth, while encoder-IMU fusion tracks body position and velocity","Reported contact-state discrimination accuracy remained above 90%; the authors claim a 30-40% hardware-cost reduction, while no numerical position/velocity RMSE is provided","Future work is required for unstructured terrain, visual-sensor integration, and computational optimization for real-time deployment","The method is validated only in simulation, uses a manually thresholded binary wheel-bottom contact state, and does not model individual potential contacts or slip residuals","Relevant mainly as a wheel-legged contact-estimation example, but weaker evidence than real-robot studies and not based on invariant filtering",Abstract; Sections II-III; Section IV and Figures 7-11; Section V,Fully verified,Use cautiously because the pose-estimation results are qualitative and the work is simulation-only,Contact-Aided Inertial State Estimation,Supporting
Kim2025,Adaptive Invariant Extended Kalman Filter for Legged Robot State Estimation,2025,Adaptive contact-aided invariant filtering with slip handling,LeoQuad quadruped robot,IMU; joint encoders/kinematics; commanded joint torques for contact detection; motion capture for evaluation; no dedicated contact sensors,Right-Invariant Extended Kalman Filter with online foot-noise covariance estimation and Mahalanobis-distance slip rejection,"Body rotation, velocity, and position; positions of the contacting feet; accelerometer and gyroscope biases",Bias-corrected IMU propagation with static-foot process models whose noise is varied by contact state,Foot position kinematics provide right-invariant measurements; contact is estimated from a generalized-momentum method; per-axis foot-model noise is adapted online and large slips can be rejected using Mahalanobis distance,Adaptive measurement/process-noise scaling plus threshold-based slip rejection,"Contacting feet are nominally stationary, but deviations are represented through adaptively estimated foot-velocity noise","No training; requires window-size, covariance, contact-detection, and slip-threshold tuning",Motion-capture system,Real-robot experiments,"Flat and rough terrain with trot, flying-trot, and pronk gaits; 60-second trials",Adaptive foot-noise estimation handles small or axis-specific slips that binary rejection can miss and improves robustness during highly dynamic locomotion,"For rough-terrain flying trot, velocity RMSE changed from 0.110/0.056/0.145 m/s with conventional IEKF to 0.048/0.050/0.022 m/s with combined slip rejection and foot-noise estimation; pitch RMSE decreased from 0.292 to 0.190 degrees, while roll RMSE changed from 0.337 to 0.356 degrees","Future work includes refining noise-parameter tuning, extending the method to other robots, and improving unobservable position and yaw estimation",The method assumes leg-foot contacts and augments foot positions in the state; it does not address the geometry-driven choice among multiple rimless-wheel spokes or measured spoke-tip velocity,"Very relevant because it compares fixed-noise contact updates, Mahalanobis slip rejection, and adaptive covariance handling within an InEKF",Abstract; Sections III-A-III-D; Section IV and Table I; Section V,Fully verified,This is an arXiv preprint dated October 2025; verify the final publication status before citing it as peer-reviewed,Contact-Aided Inertial State Estimation,Core
Xu2024,State Estimation for Wheeled-Legged Robot with Slip Detection,2024,Slip-aware wheeled-legged state estimation using slip-ratio-dependent covariance adaptation,Custom single wheeled-legged robot constrained to one-dimensional longitudinal motion,IMU; leg-joint and wheel encoders; wheel-motor current/torque; contact or ground-pressure information; RGB camera with AprilTag used only for ground truth,Linear 15-state Kalman Filter,Torso position and velocity; wheel-motion-contributed torso position and velocity; contact-point position,IMU- and kinematics-based propagation of torso and contact-related states,"Contact-point position, velocity from leg extension, and velocity from wheel rotation update the filter; measurement covariance is scaled using contact confidence and estimated slip ratio",Slip-ratio estimation and adaptive measurement covariance; wheel information is given negligible influence when the estimated slip ratio exceeds approximately 0.2,Contact is represented by a contact-phase/height confidence term; the effective wheel radius is derived from the leg geometry; the current formulation assumes flat horizontal terrain,"No learned training data; requires robot dynamics, motor torque from current, ground-pressure/contact information, and hand-tuned observer and covariance gains",Gazebo true torso state in simulation; AprilTag position from a fixed 75 Hz RGB camera and differentiated velocity in hardware experiments,Simulation and real-robot experiments,"Low- and high-friction Gazebo surfaces; soapy POM plastic board, foam floor mat, and stepping with intermittent wheel contact","Estimating slip ratio and reducing confidence in wheel-derived measurements improves longitudinal position and velocity estimation during acceleration, braking, re-adhesion, and stepping","In the hardware acceleration/deceleration test, average longitudinal position relative error decreased from 399.26% to 10.59%, and average velocity relative error decreased from 231.15% to 22.86%; improvements were reported in all three scenarios","The slip-ratio estimator requires ground-pressure input and lacks terrain-slope identification, so it is currently limited to flat horizontal terrain; during severe slip or when the wheel is airborne, the filter relies mainly on the IMU",The experiments use a single wheel-leg constrained to one axis and do not address selection among multiple discontinuous rimless-wheel spokes; the method also depends on contact force and effective-radius modeling,"Highly relevant as an example of slip-aware covariance adaptation for a wheel-legged robot; it contrasts with the proposed approach, which uses contact-velocity innovation consistency and can reject individual spoke measurements",Sections III-A and III-B; Section IV; Section V; Tables I-IV; Section VI,Fully verified,The slip ratio is used to alter measurement confidence rather than directly correcting the measured wheel velocity,Slip Detection and Slip-Aware Odometry,Core
Ward2008,A Dynamic-Model-Based Wheel Slip Detector for Mobile Robots on Outdoor Terrain,2008,Dynamic-model-based longitudinal slip and immobilization detection,DARPA LAGR four-wheel outdoor mobile robot with front-wheel differential drive and pneumatic tires,Front-wheel encoders; Xsens MT9 IMU; optional Garmin differential GPS,Extended Kalman Filter,Longitudinal body velocity; accelerometer walking bias; longitudinal disturbance acceleration; left and right wheel angular velocities; yaw rate; yaw-gyro walking bias,"Nonlinear vehicle dynamics using a tire traction/braking model, gravity, rolling resistance, external disturbance force, and wheel-controller dynamics","Asynchronous updates from longitudinal IMU acceleration, IMU yaw rate, GPS longitudinal velocity, and left/right wheel-encoder angular velocities; weak physical constraints limit poorly observable states",Longitudinal slip estimation and threshold-based immobilization detection; no wheel-measurement rejection or slip compensation,Conventional continuous tire-ground contact represented by a terrain-dependent traction/braking model,"Requires robot mass and geometry, IMU-noise parameters, and tire/rolling-resistance model parameters estimated from simple experiments and manually tuned","Immobilization events were deliberately generated by restraining the robot with a spring scale; GPS supplied velocity when available, but independent ground-truth velocity was not used for full estimator validation",Real-robot outdoor experiments with offline MATLAB processing and an online C++ implementation,"Approximately 120 m over loose mulch, loose gravel on dry soil, mud, and several grass surfaces; speeds from 0.1 to 1.0 m/s",The dynamic model and proprioceptive measurements detect complete immobilization quickly and remain effective when GPS is unavailable,"All 20 immobilization events in 21 runs were detected with an average detection time of 0.4 s; fewer than 0.2% of data points were falsely labelled with GPS, and 0.35% without GPS","Velocity accuracy depends on the terrain-specific tire model; future work calls for independent velocity ground truth, online tire-parameter adaptation, a lateral-force model for sideslip, and fusion of multiple detectors","The method models aggregate vehicle-level tire slip and complete immobilization under continuous wheel contact; it does not handle individual, intermittent rimless-wheel spoke contacts","Provides a strong model-based proprioceptive slip-detection baseline and demonstrates that slip can be detected without GPS, but its terrain and tire model differs fundamentally from PCV-based per-contact consistency testing",Sections II-III; Section IV-A to IV-E; Tables I-III; Section V,Fully verified,"The algorithm estimates degree of longitudinal slip, but the demonstrated decision output focuses on whole-robot immobilization",Slip Detection and Slip-Aware Odometry,Core
Zarei2024,Sequential track fusion in multi-sensor networks of unscented Kalman filters: A case of slip estimation in planetary mobile robots,2024,Proprioceptive slip estimation using track-to-track UKF fusion,Simulated six-wheel lunar wheeled mobile robot with steerable wheels,IMU; steering-angle measurements; wheel encoders,Network of local Unscented Kalman Filters fused with sequential SLR/UKF track-to-track fusion,Body longitudinal velocity; body lateral velocity; yaw rate; per-wheel-set longitudinal slip ratio derived from estimated motion and encoder speed,"Continuous-time rigid-body velocity model driven by IMU linear and angular acceleration, discretized with Euler-Maruyama",Each steerable wheel-set agent uses its steering angle as a measurement; local UKF tracks are fused sequentially while propagating cross-correlations,Online longitudinal slip-ratio estimation; no measurement rejection,Ackermann steering geometry; negligible lateral slip angle; fixed-radius conventional wheels with continuous contact,No training; model and covariance parameters are specified for simulation,True states from a high-fidelity software-in-the-loop digital-twin simulation,High-fidelity software-in-the-loop simulation with 200 Monte Carlo runs,Simulated six-wheel lunar rover using a Vortex Studio wheel-soil contact model; high- and low-traction straight motion and circular motion,Sequential SLR/UKF track fusion provides consistent real-time slip estimates while balancing accuracy and computational cost better than the compared consistent fusion methods,"Reported ANEES values were 1.1003, 1.0662, and 0.9288 for high-traction straight, low-traction straight, and circular tests; corresponding ARMSE values were 0.1983, 0.0012, and 0.0004",Integration of the estimator into the rover feedback-control system is left as immediate future work; no real-world experiment is presented,The method assumes negligible lateral slip and continuous fixed-radius wheel contact and estimates aggregate wheel-set slip rather than the consistency of individual rimless-wheel spoke contacts,"Relevant as a purely proprioceptive planetary-rover slip estimator, but its purpose is continuous slip-ratio estimation rather than per-contact measurement rejection",Sections IV-V; Equations 38-43; Table I; Section VI,Fully verified,This paper was already included in the wheel-IMU fusion batch; do not duplicate it in the master spreadsheet,Slip Detection and Slip-Aware Odometry,Duplicate
Sakayori2024,Modeling of slip rate-dependent traversability for path planning of wheeled mobile robot in sandy terrain,2024,Terramechanics-inspired slip prediction and slip-aware path planning,Instrumented single-wheel testbed and simulated planetary rover,Linear encoder for carriage velocity; wheel-motor encoder; vertical displacement measurement; six-axis force/torque sensor,No recursive state estimator; slip is predicted with an experimentally fitted regression model,Slip ratio predicted from traction force and slip rate for path-planning cost evaluation,Not applicable to state estimation; rover dynamics and terrain slope are used in planning simulations,"A slip-rate-dependent regression model maps traction force and slip rate to predicted slip ratio, which is inserted into the path-planning cost function","Offline model-based slip prediction and slip-minimizing path planning; no online slip detection, compensation, or measurement rejection","Continuous interaction between a lugged circular wheel and deformable Toyoura sand; the model is wheel-, load-, speed-, and terrain-dependent","Requires single-wheel experiments over a range of imposed slip rates, wheel speeds, and wheel designs to fit the regression model","Directly commanded/measured slip ratio, traction force, wheel speed, carriage speed, and sinkage on the testbed; simulated rover states in planning studies",Physical single-wheel experiments plus path-planning and dynamics simulations,Toyoura sand in a single-wheel testbed; simulated crater and rough-terrain traversal,"Slip ratio at a given traction force changes with slip rate, and including this transient effect in the planning cost can select paths with less predicted slip",The proposed regression achieved an average adjusted R-squared of 0.847; planning simulations reported a 66% slip-ratio reduction near a crater and 58% on rough terrain,"Experiments used a small, lightly loaded, slowly rotating wheel on flat terrain; more data, slope experiments, rough-terrain validation, improved transient simulation, and online replanning are needed","The method is an offline terrain- and wheel-specific planning model rather than an odometry or state-estimation method, and its continuous-wheel assumptions do not represent intermittent rimless-wheel contacts","Useful as supporting literature for model-based slip prediction and the terrain dependence of wheel slip, but it should not be presented as a direct alternative to the proposed CVO estimator",Sections 3-5; Figures 1-9; Tables 3-5; Conclusion and Future Work,Fully verified,The Zotero metadata incorrectly labels the attachment as 2026; the article was published on 25 January 2024,Slip Detection and Slip-Aware Odometry,Supporting
Yoon2024,Invariant Smoother for Legged Robot State Estimation With Dynamic Contact Event Information,2024,Invariant fixed-lag smoothing with dynamic-contact slip rejection,KAIST HOUND quadruped robot,IMU and joint encoders; Vicon motion capture used for indoor ground truth,Right-invariant fixed-lag smoother on a matrix Lie group,"Base rotation, velocity, and position; positions of contacting feet; gyroscope bias; accelerometer bias",IMU integration for base motion with zero-velocity propagation of feet assumed to be in stable contact,Leg forward-kinematic observations and a contact-loop constraint connect foot positions across multiple timesteps during stable contact,Estimated-foot-velocity thresholding with covariance inflation; slip status and past foot velocities are re-evaluated within the smoothing window rather than hard-rejecting measurements,"Feet are assumed static during contact; when estimated foot velocity exceeds a threshold, the static-contact constraint is assigned a larger slip covariance","No learned model; requires robot kinematics and empirically selected contact/slip covariances, velocity and acceleration thresholds, and smoother window size",Nine-camera Vicon system at 200 Hz for five indoor 120 s experiments; no quantitative ground truth was available for the 160 m outdoor test,Online real-robot experiments and offline comparisons with InEKF and noninvariant smoothers,"Slippery floor, deformable mattress, stacked wooden plates with pebbles, external pulling disturbance, and a 160 m outdoor figure-eight trajectory","State-independent invariant Jacobians improve optimization convergence, while smoothing enables re-evaluation of dynamic contact events and improves robustness when the static-foot assumption is violated","During slip, the pseudo-invariant smoother required up to approximately 25 times more iterations than the proposed invariant smoother; the proposed estimator ran online at 200 Hz and completed a 160 m outdoor trajectory","Estimator frequency was limited to 200 Hz by onboard computation; future work includes exteroceptive measurements, loop closure, nonlinear constraints, more precise terrain/contact uncertainty models, and a more rigorous discrete-time derivation",The method is designed for articulated feet with joint-kinematic contact constraints and does not model wheel-encoder-driven spoke-tip velocity or select among multiple potential rimless-wheel contacts,Highly relevant for explaining covariance inflation and re-evaluation of contact validity under slip; it offers a smoother-based alternative to the proposed filter-based PCV gating,Sections IV-V; Section VII; Figures 9-15; Tables III-IV; Section VIII,Fully verified,The Zotero export contains the same PDF twice; include only one literature-matrix row,Slip Detection and Slip-Aware Odometry,Core
Gargiulo2021,Model-Based Slippage Estimation to Enhance Planetary Rover Localization with Wheel Odometry,2021,Terramechanics-based slip estimation and wheel-odometry correction,"Simulated six-wheel, three-axle rover based on the ESA ExoMars rover with independently steered wheels",Wheel encoders providing wheel angular rates; IMU providing heading and yaw-rate measurements,Model-based dead-reckoning estimator; no Kalman filter,"Planar position, heading, yaw rate, longitudinal velocity, and lateral velocity",Nonlinear rover dynamics with compliant-wheel/compliant-soil interaction forces and Ackermann steering,Wheel angular-rate and IMU heading/yaw-rate measurements are periodically integrated through the dynamic model to predict slip and propagate the rover state,Model-based longitudinal and lateral slip estimation followed by correction of wheel-odometry measurements,Continuous compliant circular-wheel contact with homogeneous terrain properties; wheel-soil interaction is described by a terramechanics model,No learned training data; requires rover geometry and a rough prior characterization of soil parameters and terrain slope,Numerically simulated rover trajectory and states,Numerical simulation only,"Martian-like cloddy, mixed drift-cloddy, and drift soils with slopes and randomly distributed hazards",Predicting wheel slip with a detailed rover-terrain dynamic model substantially improves dead-reckoning localization compared with uncorrected wheel-odometry and IMU integration,The authors report that the final position error is approximately three times lower than with uncorrected wheel odometry; the plotted final error decreases from about 60-70 m to about 20 m over roughly 360 m of travel,The simulations assume homogeneous and constant soil characteristics along the path and require a rough prior description of the environment; validation is limited to simulation,The terrain- and wheel-specific continuous-contact model is difficult to transfer to a rimless wheel with intermittent individual spoke contacts and would require terrain parameters that may be unavailable online,Useful as a model-based slip-compensation alternative to the proposed innovation-based contact-velocity rejection; it belongs mainly in the model-based slip section rather than the rimless-wheel odometry section,Sections 2.1-2.2; Section 4.2; Figures 13-16; Section 5,Fully verified,The estimator samples wheel-encoder and IMU data at 60 s intervals in the numerical localization experiment,Slip Detection and Slip-Aware Odometry,Supporting
Schlee2024,Gait Analysis and Control of Rimless Wheel Rovers for Planetary Exploration,2024,"Rimless-wheel gait classification, gait control, and body-motion analysis",Coyote II four-wheel rimless-wheeled rover; evaluation uses a simplified Drake simulation model with four five-spoke wheels,"The simulated controller uses wheel joint states and contact events; the physical Coyote II platform includes an IMU, LiDAR, and stereo cameras, but these are not used for state estimation in the study",None,"No odometry state is estimated; the study evaluates body vertical displacement and roll, pitch, and yaw motion",Drake rigid-body simulation with sinusoidal wheel-leg actuation and prescribed inter-wheel phase offsets,A gait controller adjusts wheel angular-velocity commands using contact events and phase shifts inferred from joint angular positions,None,"The wheels complete cycles with equal period, have no deliberate flight phase, and the rover moves forward on a level, rigid, unobstructed surface",No training data; predefined gait phase offsets and a simplified robot model are used,Simulation states from Drake,Simulation only,Level rigid surface in an unobstructed simulated environment,"The relative phase of the four rimless wheels strongly affects vertical and rotational motion of the rover body, showing that spoke-contact sequencing influences platform vibration and potentially sensor quality","Pace and Trot produced the smallest vertical peak-to-peak motion at 1.7 mm, followed by Walk at 1.8 mm; Pronk and Bound produced 28.2 mm. Table I also reports gait-dependent roll, pitch, and yaw amplitudes","The analysis uses a simplified simulation model; some yaw drift is attributed to model simplification, and hardware validation plus implementation of a suitable contact detector are left for future work","The work does not estimate odometry, slip, or contact velocity and is restricted to regular gait motion on a level rigid surface",Strong platform-specific background showing that discontinuous spoke contacts and wheel phase relationships create gait-dependent body motion; it should support the motivation for rimless-wheel-specific odometry rather than be presented as an odometry method,Sections I-IV; Sections V-VII; Table I; Figures 7-9,Fully verified,The paper cites two more directly relevant rimless-wheel localization works: Hidalgo-Carrio et al. (2014) on improved odometry and Schwendner et al. (2014) on embodied-data localization and mapping,Odometry for Rimless-Wheeled and Hybrid Wheel--Leg Robots,Core
